Дата и время      	Тип события	Описание
18.07.2020 6:52:59	Аудит      	Просмотр камеры "132.Общ. №10-Центральный вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:12:59	Аудит      	Устройство "10.Стоянка КБГУ -  ул.Толстого часть 1" сервера "KBGU-AXXON-2": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
11.05.2020 12:22:59	Аудит      	Тревога оценена на устройстве "10.Стоянка КБГУ -  ул.Толстого часть 1" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
17.03.2020 16:50:59	Аудит      	Просмотр камеры "10.Стоянка КБГУ -  ул.Толстого часть 1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
17.07.2020 0:28:25	Аудит	Просмотр камеры "133.Общ. №10 - Вход (правая часть)" пользователем "Оператор"/"Adam" с IP-адреса "192.168.1.69"
15.06.2010 11:28:23	Аудит	Устройство "123.Общежитие № 9 - СКУД" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Adam" с IP-адреса "192.168.1.69"
17.05.2020 0:36:22	Аудит	Тревога оценена на устройстве "123.Общежитие № 9 - СКУД" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Adam" с IP-адреса "192.168.1.69"
16.07.2013 6:25:16	Аудит	Просмотр камеры "177.Гл.корпус - 1 этаж аудитория 145" пользователем "Оператор"/"Zamir" с IP-адреса "192.168.1.69"
13.07.2020 2:59:16	Аудит	Устройство "47.Физмат - ком. класс 115 а" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Zamir" с IP-адреса "192.168.1.69"
16.07.2020 4:27:15	Аудит	Тревога оценена на устройстве "47.Физмат - ком. класс 115 а" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Zamir" с IP-адреса "192.168.1.69"
