Дата и время      	Тип события	Описание
18.07.2020 6:52:59	Аудит      	Просмотр камеры "132.Общ. №10-Центральный вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:59	Аудит      	Устройство "10.Стоянка КБГУ -  ул.Толстого часть 1" сервера "KBGU-AXXON-2": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:59	Аудит      	Тревога оценена на устройстве "10.Стоянка КБГУ -  ул.Толстого часть 1" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:59	Аудит      	Просмотр камеры "10.Стоянка КБГУ -  ул.Толстого часть 1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:59	Аудит      	Устройство "11.Стоянка КБГУ -  ул.Толстого часть 3" сервера "KBGU-AXXON-2": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:59	Аудит      	Тревога оценена на устройстве "11.Стоянка КБГУ -  ул.Толстого часть 3" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:58	Аудит      	Просмотр камеры "11.Стоянка КБГУ -  ул.Толстого часть 3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:58	Аудит      	Устройство "143.КИТиЭ -Стоянка" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:58	Аудит      	Тревога оценена на устройстве "143.КИТиЭ -Стоянка" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:58	Аудит      	Просмотр камеры "143.КИТиЭ -Стоянка" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:58	Аудит      	Устройство "60.Гл.корпус - Вход" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:58	Аудит      	Тревога оценена на устройстве "60.Гл.корпус - Вход" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:58	Аудит      	Просмотр камеры "60.Гл.корпус - Вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:58	Аудит      	Устройство "131.Общ.№ 10 - СКУД" сервера "KBSU-AXXON-5": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:58	Аудит      	Тревога оценена на устройстве "131.Общ.№ 10 - СКУД" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:57	Аудит      	Просмотр камеры "131.Общ.№ 10 - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:57	Аудит      	Устройство "52.Физмат - Центр интернет" сервера "KBGU-AXXON-2": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:57	Аудит      	Тревога оценена на устройстве "52.Физмат - Центр интернет" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:57	Аудит      	Просмотр камеры "52.Физмат - Центр интернет" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:56	Аудит      	Устройство "59.Гл.корпус -1 этаж холл часть 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:56	Аудит      	Тревога оценена на устройстве "59.Гл.корпус -1 этаж холл часть 2" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:56	Аудит      	Просмотр камеры "59.Гл.корпус -1 этаж холл часть 2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:56	Аудит      	Устройство "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:55	Аудит      	Тревога оценена на устройстве "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:50	Аудит      	Просмотр камеры "21.МедКолледж новый - Холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:50	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:49	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:49	Аудит      	Тревога оценена на устройстве "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:52:49	Аудит      	Просмотр камеры "28.Общежитие №7 - задний двор 2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:03	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:03	Аудит      	Тревога оценена на устройстве "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:03	Аудит      	Просмотр камеры "28.Общежитие №7 - задний двор 2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:03	Аудит      	Устройство "133.Общ. №10 - Вход (правая часть)" сервера "KBSU-AXXON-5": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
